Target_PMUT,N_train,Regime,Regime_Name,Step_Type,Approach,Model,Full_MAE,Full_R2,ROI_MAE,ROI_R2
15,3,3,Regime 3 (12–16),within,Vector,Physics,0.003149,-0.0007,0.0188,-15.4844
15,3,3,Regime 3 (12–16),within,Pointwise,RF,0.000161,0.998,0.000595,0.9785
15,3,3,Regime 3 (12–16),within,Pointwise,GB,0.000178,0.9974,0.000686,0.9731
15,3,3,Regime 3 (12–16),within,Pointwise,MLP,0.013462,-7.7372,0.01313,-7.7474
15,3,3,Regime 3 (12–16),within,Pointwise,Physics,0.003149,-0.0007,0.0188,-15.4844
16,4,3,Regime 3 (12–16),within,Vector,RF,0.00011,0.9992,0.000377,0.9917
16,4,3,Regime 3 (12–16),within,Vector,GB,5.5e-05,0.9998,0.000159,0.9986
16,4,3,Regime 3 (12–16),within,Vector,MLP,0.013653,-7.5184,0.023586,-24.9963
16,4,3,Regime 3 (12–16),within,Vector,Physics,0.003176,-0.0003,0.018742,-15.4328
16,4,3,Regime 3 (12–16),within,Pointwise,RF,7.3e-05,0.9995,0.000314,0.9943
16,4,3,Regime 3 (12–16),within,Pointwise,GB,8.6e-05,0.9993,0.000364,0.9925
16,4,3,Regime 3 (12–16),within,Pointwise,MLP,0.006327,-1.4615,0.008284,-2.2772
16,4,3,Regime 3 (12–16),within,Pointwise,Physics,0.003176,-0.0003,0.018742,-15.4328
