N_PMUT,Frequency_Hz,Frequency_MHz,Amplitude_R_mean,Amplitude_R_std,Phase_deg_mean,Phase_deg_std,V,PMUTSweep,DetectionN,w_rad_s,phase_rad,X_val,Y_val
1,110148.904059244,0.110148904059244,0.6985069999999999,3.223352292251853e-05,0.0208329,6.8088178122187214e-06,-0.0057831666666666665,1,0,692085.9755869758,0.0003636026977387267,0.6985069538262703,0.00025397902399308713
1,110504.3870071753,0.1105043870071753,0.6985173333333333,1.934769581458553e-05,0.020756266666666665,7.193283904681202e-06,-0.00564584,1,0,694319.5408223707,0.0003622651937552817,0.6985172874979988,0.0002530485115665739
1,110861.0172031632,0.1108610172031632,0.6985389999999999,2.099999999994963e-05,0.020679166666666665,6.473278406906263e-06,-0.005691616666666666,1,0,696560.3144298983,0.00036091954490199404,0.6985389545031362,0.00025211637250272483
1,111218.7983499524,0.1112187983499524,0.698546,2.306512518930208e-05,0.020601166666666667,4.536885862939319e-06,-0.005686526666666667,1,0,698808.3196745901,0.0003595581880854385,0.6985459548452568,0.0002511679286424115
1,111577.7341622248,0.1115777341622248,0.6985466666666666,1.2858201014595302e-05,0.020526166666666668,5.485739087246769e-06,-0.005686526666666667,1,0,701063.5798964807,0.00035824919114644274,0.6985466218400603,0.00025025377295834526
1,111937.8283651073,0.1119378283651073,0.6985556666666667,1.789785834486425e-05,0.0204473,6.383572667402734e-06,-0.00573231,1,0,703326.1185012325,0.00035687270814303655,0.6985556221832955,0.00024929544726036396
1,112299.0846986483,0.1122990846986483,0.6985636666666667,6.8068592855968715e-06,0.0203713,6.518435395092196e-06,-0.005798426666666666,1,0,705595.9589882628,0.00035554625791152085,0.6985636225128533,0.00024837169236337664
1,112661.5069125947,0.1126615069125947,0.6985796666666667,1.8036999011323978e-05,0.020294833333333335,3.690979996334956e-06,-0.005645836666666667,1,0,707873.1249179264,0.00035421166281016255,0.6985796228427031,0.0002474450601610494
1,113025.0987693771,0.11302509876937711,0.6985939999999999,1.8734993995247264e-05,0.020219866666666666,5.179124765182038e-06,-0.005818773333333333,1,0,710157.6399302718,0.0003529032476475841,0.6985939564983068,0.00024653608626982006
1,113389.864044855,0.113389864044855,0.6986043333333334,3.0237945256475017e-05,0.020142866666666665,4.350095784387843e-06,-0.0056967,1,0,712449.5277497238,0.00035155934412354844,0.6986042901616915,0.0002456008761694041
