N_PMUT,Frequency_MHz,Amplitude_R_mean,Amplitude_R_std,Phase_deg_mean,Phase_deg_std
1,0.14485184299999998,0.6993519999999999,2.042057785668392e-05,0.01465736666666667,3.435597958628023e-06
1,0.14531932199999997,0.6993636666666667,1.250333288899767e-05,0.01458843333333333,3.787259343289887e-06
1,0.14578831099999998,0.699374,9.539392014234279e-06,0.0145222,3.304542328371118e-06
1,0.146258813,0.6993823333333333,3.214550253598458e-06,0.0144534,2.787471972954157e-06
1,0.146730833,0.6993933333333334,1.078579312487385e-05,0.01438663333333333,3.286842456422076e-06
1,0.147204376,0.699393,9.643650760965183e-06,0.0143185,4.050925820106931e-06
1,0.147679448,0.699411,1.8193405398622e-05,0.0142546,4.471017781222287e-06
1,0.148156053,0.6994170000000001,1.907878402834345e-05,0.01418586666666667,4.565449959568772e-06
1,0.148634197,0.699417,2.163330765276323e-05,0.01411866666666667,3.324655370610677e-06
1,0.149113883,0.6994273333333334,1.222020185321265e-05,0.0140528,4.103656905735929e-06
1,0.149595117,0.6994363333333333,1.877054430037241e-05,0.01398563333333333,4.800347209664793e-06
1,0.150077905,0.6994496666666666,1.096965511461386e-05,0.0139186,4.912229636325857e-06
1,0.15056225,0.6994546666666667,1.250333288904207e-05,0.01385303333333333,3.607399802258211e-06
1,0.15104815900000002,0.6994666666666666,2.375570107007303e-05,0.013786,4.550824101193283e-06
1,0.151535636,0.6994763333333333,1.703917055885815e-05,0.01371906666666667,2.950141239556255e-06
1,0.152024686,0.6994916666666667,1.656301099839817e-05,0.0136544,3.758989225843453e-06
1,0.152515314,0.6994976666666667,1.401189970464076e-05,0.0135882,4.10365690573723e-06
1,0.153007526,0.699504,2.029778313018013e-05,0.01352266666666667,3.507610772782235e-06
1,0.153501327,0.6995140000000001,1.479864858694479e-05,0.0134554,4.553020975132291e-06
1,0.153996721,0.6995266666666667,1.258305739213601e-05,0.01338856666666667,4.823207784591082e-06
1,0.15449371299999998,0.6995446666666667,1.422439219559807e-05,0.01332296666666667,4.562163229580336e-06
1,0.15499231,0.699554,5.000000000032756e-06,0.01325676666666667,4.261846235300779e-06
1,0.155492516,0.6995663333333333,2.136195996000482e-05,0.0131919,3.143246729100026e-06
1,0.155994336,0.6995766666666666,1.709775813763482e-05,0.01312546666666667,5.337914698955982e-06
1,0.156497776,0.6995856666666667,2.050203241963592e-05,0.01305916666666667,4.99433011857704e-06
1,0.15700284,0.6996026666666667,2.500666577794429e-05,0.0129916,4.036087214122272e-06
1,0.157509535,0.6996096666666668,2.079262689832257e-05,0.01292643333333333,5.460158727851497e-06
1,0.158017864,0.6996203333333333,2.33523731841664e-05,0.01285936666666667,4.874764951597438e-06
1,0.158527834,0.6996296666666666,2.343786110836849e-05,0.01279393333333333,4.005413004090448e-06
1,0.15903945,0.69964,1.835755975064673e-05,0.0127268,5.436910887626382e-06
1,0.159552717,0.6996483333333333,2.230097157822775e-05,0.01266093333333333,3.781974792793678e-06
1,0.160067641,0.6996693333333334,2.92973263854093e-05,0.0125939,4.050925820106041e-06
1,0.16058422700000002,0.6996683333333333,3.338163167573956e-05,0.01252843333333333,3.530344647953944e-06
1,0.161102479,0.699681,4.158124577259446e-05,0.01246093333333333,4.398105652816763e-06
1,0.161622404,0.6996876666666667,3.696394639831232e-05,0.01239523333333333,4.346646216721985e-06
1,0.162144007,0.6997006666666667,4.091861841911845e-05,0.01232663333333333,2.532455988430541e-06
1,0.162667294,0.6997186666666667,2.482606157516271e-05,0.01226056666666667,4.660829682935273e-06
1,0.163192269,0.6997273333333333,2.548201980483354e-05,0.0121938,4.413615298143307e-06
1,0.163718939,0.6997276666666666,3.879862540514469e-05,0.01212636666666667,4.994330118578561e-06
1,0.16424730799999998,0.6997446666666667,2.655811238278139e-05,0.01205976666666667,4.147690120216278e-06
1,0.164777382,0.699757,3.051229260478658e-05,0.01199216666666667,4.534681172180343e-06
1,0.16530916699999998,0.6997613333333333,3.403429642770912e-05,0.01192566666666667,5.400308633156346e-06
1,0.165842669,0.6997683333333334,3.980368492159388e-05,0.01185623333333333,5.050082507576034e-06
1,0.166377892,0.699787,1.700000000000312e-05,0.01179053333333333,5.975226634475305e-06
1,0.166914842,0.6997976666666667,3.082747692135984e-05,0.0117237,5.339475629684558e-06
1,0.16745352600000002,0.6998046666666666,2.650157228040299e-05,0.01165693333333333,5.488472768751581e-06
1,0.16799394699999998,0.6998083333333334,2.768272626263196e-05,0.0115908,5.250714237130069e-06
1,0.16853611300000002,0.6998183333333333,3.043572462313789e-05,0.0115226,6.677574409917768e-06
1,0.16908002900000002,0.699821,2.821347195939835e-05,0.0114559,4.779121258138567e-06
1,0.16962570000000002,0.6998356666666666,2.695057204091702e-05,0.0113916,7.291776189652633e-06
1,0.170173132,0.699847,1.824828759096766e-05,0.01132393333333333,6.174409553417387e-06
1,0.170722331,0.6998446666666666,3.165964834502899e-05,0.01125843333333333,5.150080905513249e-06
1,0.171273302,0.699836,1.68226038412627e-05,0.01119316666666667,5.450076452063103e-06
1,0.171826052,0.699844,2.49799919936408e-05,0.0111267,6.238589584193406e-06
1,0.172380585,0.6998530000000001,1.670329308848683e-05,0.01106183333333333,5.9340823497266e-06
1,0.172936908,0.6998583333333332,4.725815626319982e-06,0.01099633333333333,5.084617324178174e-06
1,0.17349502600000002,0.699868,1.493318452309324e-05,0.01093243333333333,6.503332479069833e-06
1,0.174054946,0.6998646666666666,2.379775899810669e-05,0.0108666,6.039867548217034e-06
1,0.174616672,0.6998733333333332,1.530795000425182e-05,0.0108021,7.350510186374963e-06
1,0.175180212,0.6998743333333334,1.49777612924825e-05,0.01073773333333333,6.932772413207587e-06
1,0.17574557000000002,0.6998853333333334,2.396525262400913e-05,0.0106739,7.063285354564361e-06
1,0.17631275200000002,0.699884,1.452583904637523e-05,0.01060953333333333,6.375996654119234e-06
1,0.176881766,0.6998993333333333,3.233161507463535e-05,0.01054586666666667,6.551590137769027e-06
1,0.17745261499999998,0.6999093333333333,2.28108161478987e-05,0.0104819,6.673080248281699e-06
1,0.178025307,0.6999173333333334,2.37557010701665e-05,0.01041786666666667,9.250045044934142e-06
1,0.178599847,0.6999286666666666,1.285820101458667e-05,0.0103548,9.081299466486556e-06
1,0.179176241,0.699936,2.042057785664042e-05,0.01029163333333333,7.783529619224165e-06
1,0.179754496,0.6999343333333333,2.196208854669672e-05,0.01022806666666667,7.400225221797943e-06
1,0.180334617,0.6999443333333334,2.05993527406611e-05,0.0101633,7.907591289388406e-06
1,0.180916609,0.699938,1.928730152196634e-05,0.0101012,9.232551110068523e-06
1,0.181500481,0.6999546666666667,2.837839553838352e-05,0.01003756666666667,7.015934245226425e-06
1,0.182086236,0.699957,2.799999999998637e-05,0.00997428,8.806815542522918e-06
1,0.182673882,0.6999576666666667,2.150193789722407e-05,0.009912230000000001,8.153821190091146e-06
1,0.183263424,0.699961,1.307669683062555e-05,0.009849080000000001,8.080216581256114e-06
1,0.183854869,0.69998,1.969771560362882e-05,0.00978581,7.306757146642454e-06
1,0.184448223,0.6999803333333334,1.721433511152202e-05,0.00972332,9.381625658701951e-06
1,0.185043492,0.6999843333333334,1.201388086058253e-05,0.009659476666666666,7.835313224965762e-06
1,0.185640682,0.6999909999999999,3.241913015490953e-05,0.009598540000000001,8.316122894715054e-06
1,0.186239799,0.700008,2.740437921210622e-05,0.009534926666666667,8.965937392895231e-06
1,0.18684085,0.7000120000000001,2.87923600977281e-05,0.009472743333333334,7.58229736513485e-06
1,0.18744384,0.7000116666666667,2.250185177572783e-05,0.009410433333333334,8.115203838064742e-06
1,0.188048777,0.7000266666666667,1.656301099838225e-05,0.00934756,7.116944569125908e-06
1,0.188655665,0.7000343333333333,1.001665280089799e-05,0.009284713333333333,9.73173331597869e-06
1,0.189264513,0.7000449999999999,2.211334438749237e-05,0.009221646666666666,7.632308519270506e-06
1,0.189875325,0.7000510000000001,3.031501278247032e-05,0.00915966,9.211927051382897e-06
1,0.190488109,0.7000586666666666,2.300724523563186e-05,0.009096223333333334,8.747287198516428e-06
1,0.19110287,0.700071,2.497999199358747e-05,0.009035156666666667,9.230028891251324e-06
1,0.19171961499999998,0.7000686666666667,2.720906711611931e-05,0.00897183,9.143216064383838e-06
1,0.192338351,0.700078,2.696293752538867e-05,0.00891079,7.207503035032292e-06
1,0.192959083,0.700092,3.204684071791504e-05,0.008847796666666666,8.569307634420786e-06
1,0.193581819,0.7000926666666666,2.107921567163183e-05,0.008785443333333334,9.48486337979253e-06
1,0.194206565,0.7001073333333334,2.650157228042761e-05,0.00872375,8.805106472949684e-06
1,0.194833326,0.7001183333333333,2.61023626005588e-05,0.008662593333333333,9.510154222373831e-06
1,0.195462111,0.7001243333333332,3.050136608955856e-05,0.008600993333333333,9.684303451116976e-06
1,0.196092925,0.7001263333333334,2.874601421649384e-05,0.00853744,7.581576353239652e-06
1,0.196725774,0.7001363333333334,2.857154761882591e-05,0.008475873333333333,8.8525495385972e-06
1,0.197360666,0.7001393333333333,2.702468007823796e-05,0.008413766666666668,8.741088795643972e-06
1,0.197997607,0.7001560000000001,2.946183972529295e-05,0.008349796666666666,8.405607255476213e-06
